plant_id,type
AGLE,"Subshrub, Shrub, Forb/herb"
AGMU,"Subshrub, Shrub, Forb/herb"
AGNE3,"Subshrub, Shrub, Forb/herb"
AGPA3,"Subshrub, Shrub, Forb/herb"
AGPA4,"Subshrub, Shrub, Forb/herb"
AGPAN6,"Shrub, Forb/herb, Subshrub"
AGPAP5,"Shrub, Forb/herb, Subshrub"
AGPA5,"Subshrub, Shrub, Forb/herb"
AGPH,"Forb/herb, Shrub, Subshrub"
AGSC3,"Subshrub, Shrub, Forb/herb"
AGSCS2,"Subshrub, Shrub, Forb/herb"
AGSCT,"Subshrub, Shrub, Forb/herb"
AGSH,"Subshrub, Shrub, Forb/herb"
AGSI2,"Subshrub, Shrub, Forb/herb"
AGTO,"Subshrub, Shrub, Forb/herb"
AGTOB,"Subshrub, Shrub, Forb/herb"
AGTOT,"Subshrub, Shrub, Forb/herb"
AGUN2,"Forb/herb, Shrub, Subshrub"
AGUT,"Subshrub, Shrub, Forb/herb"
AGUTE,"Subshrub, Shrub, Forb/herb"
AGUTK,"Subshrub, Shrub, Forb/herb"
AGUTN,"Subshrub, Shrub, Forb/herb"
AGUTU,"Subshrub, Shrub, Forb/herb"
AGWE,"Subshrub, Shrub, Forb/herb"
AGCL3,"Vine, Forb/herb"
AGAD2,"Subshrub, Forb/herb"
AGAL5,Forb/herb
AGALA,Forb/herb
AGALA2,Forb/herb
AGALR,Forb/herb
AGAR4,Forb/herb
AGARA,Forb/herb
AGARI2,Forb/herb
AGHE5,"Subshrub, Forb/herb"
AGJU2,Forb/herb
AGLE3,Forb/herb
AGLU,Forb/herb
AGOC2,"Subshrub, Forb/herb"
AGPA13,Forb/herb
AGRO5,"Subshrub, Forb/herb"
AGCO,Forb/herb
AGCO2,"Subshrub, Forb/herb"
AGHO3,Forb/herb
AGLI3,Forb/herb
AGCO4,Forb/herb
AGCOM,Forb/herb
AGBO4,Forb/herb
AGEL8,Forb/herb
AGIN8,Forb/herb
AGOV,Forb/herb
AGRE8,Forb/herb
AGAP2,Forb/herb
AGAPA,Forb/herb
AGAPE,Forb/herb
AGAPM,Forb/herb
AGAU2,"Subshrub, Forb/herb"
AGAUA,"Subshrub, Forb/herb"
AGAUP,"Subshrub, Forb/herb"
AGDA3,Forb/herb
AGEL,Forb/herb
AGGL,"Forb/herb, Shrub, Subshrub"
AGGLA,Forb/herb
AGGLC,Forb/herb
AGGLD,Forb/herb
AGGLG,Forb/herb
AGGLL,"Forb/herb, Shrub, Subshrub"
AGGLM,Forb/herb
AGGR,Forb/herb
AGHE2,Forb/herb
AGHEC,Forb/herb
AGHEH,Forb/herb
AGHET,Forb/herb
AGLA9,Forb/herb
AGMO2,Forb/herb
AGRE,Forb/herb
AGEU,Forb/herb
AGGR2,Forb/herb
AGIN3,Forb/herb
AGMI2,Forb/herb
AGPA6,Forb/herb
AGPU,Forb/herb
AGRO3,Forb/herb
AGST,Forb/herb
AGBR4,Forb/herb
AGGI,Forb/herb
AJCH,Forb/herb
AJGE,Forb/herb
AJPY,Forb/herb
AJRE,Forb/herb
ALRO3,Forb/herb
ALFI5,Forb/herb
ALFIV,Forb/herb
ALMO4,Forb/herb
ALSU2,Forb/herb
ALVE3,Forb/herb
ALAC2,Forb/herb
ALAN3,Forb/herb
ALFI3,"Subshrub, Forb/herb"
ALHU,Forb/herb
ALMA3,Forb/herb
ALMAB,Forb/herb
ALMAM,Forb/herb
ALSE5,Forb/herb
ALAU,Forb/herb
ALBR6,Forb/herb
ALFA2,Forb/herb
ALLU,Forb/herb
ALOB3,Forb/herb
ALTO2,Forb/herb
ALCA23,Forb/herb
ALFO3,Forb/herb
ALHA6,Forb/herb
ALHE3,Forb/herb
ALHU6,Forb/herb
ALLA13,Forb/herb
ALLAI,Forb/herb
ALLAL3,Forb/herb
ALLE7,Forb/herb
ALLO6,Forb/herb
ALMC,Forb/herb
ALMI10,Forb/herb
ALNY2,Forb/herb
ALPE11,Forb/herb
ALPI2,Forb/herb
ALRI3,Forb/herb
ALSE11,Forb/herb
ALST12,Forb/herb
ALSU10,Forb/herb
ALSU9,Forb/herb
ALTE12,Forb/herb
ALTR14,Forb/herb
ALGR,Forb/herb
ALLA2,Forb/herb
ALPL,Forb/herb
ALSU,Forb/herb
ALTR7,Forb/herb
ALPE4,Forb/herb
ALCH,Forb/herb
ALIN,Forb/herb
ALINI,Forb/herb
ALINN,Forb/herb
ALINV2,Forb/herb
ALAA,Forb/herb
ALAB2,Forb/herb
ALAC4,Forb/herb
ALAL4,Forb/herb
ALAM,Forb/herb
ALAM2,Forb/herb
ALAN,Forb/herb
ALAT,Forb/herb
ALATA,Forb/herb
ALATC,Forb/herb
ALAT3,Forb/herb
ALBI,Forb/herb
ALBI2,Forb/herb
ALBIB,Forb/herb
ALBIP,Forb/herb
ALBO,Forb/herb
ALBOB,Forb/herb
ALBOM,Forb/herb
ALBOS,Forb/herb
ALBR,Forb/herb
ALBR2,Forb/herb
ALBU2,Forb/herb
ALBU,Forb/herb
ALCA2,Forb/herb
ALCA3,Forb/herb
ALCAC,Forb/herb
ALCAE,Forb/herb
ALCAF,Forb/herb
ALCAH,Forb/herb
ALCAL,Forb/herb
ALCAM,Forb/herb
ALCE,Forb/herb
ALCE2,Forb/herb
ALCEC2,Forb/herb
ALCEN,Forb/herb
ALCEO,Forb/herb
ALCO2,Forb/herb
ALCO3,Forb/herb
ALCO,Forb/herb
ALCR3,Forb/herb
ALCR4,Forb/herb
ALCR5,Forb/herb
ALCU,Forb/herb
ALDE6,Forb/herb
ALDI10,Forb/herb
ALDI2,Forb/herb
ALDI3,Forb/herb
ALDO,Forb/herb
ALDR,Forb/herb
ALEL,Forb/herb
ALFA3,Forb/herb
ALFI,Forb/herb
ALFI2,Forb/herb
ALFIF,Forb/herb
ALFIM,Forb/herb
ALFIP2,Forb/herb
ALFI4,Forb/herb
ALGE,Forb/herb
ALGEC,Forb/herb
ALGEG,Forb/herb
ALGET,Forb/herb
ALGL,Forb/herb
ALGO,Forb/herb
ALHA,Forb/herb
ALHI,Forb/herb
ALHO,Forb/herb
ALHO2,Forb/herb
ALHOC,Forb/herb
ALHOH,Forb/herb
ALHOS,Forb/herb
ALHY,Forb/herb
ALJE,Forb/herb
ALKU,Forb/herb
ALLA3,Forb/herb
ALLAD,Forb/herb
ALLAK,Forb/herb
ALLAL,Forb/herb
ALLAM2,Forb/herb
ALLE3,Forb/herb
ALMA4,Forb/herb
ALMA5,Forb/herb
ALMA6,Forb/herb
ALME,Forb/herb
ALMO3,Forb/herb
ALMU6,Forb/herb
ALNE3,Forb/herb
ALNE,Forb/herb
ALNE4,Forb/herb
ALNI,Forb/herb
ALOB,Forb/herb
ALOBC,Forb/herb
ALOBO,Forb/herb
ALOL,Forb/herb
ALOX,Forb/herb
ALPA20,Forb/herb
ALPA2,Forb/herb
ALPA11,Forb/herb
ALPA3,Forb/herb
ALPA5,Forb/herb
ALPE,Forb/herb
ALPEF,Forb/herb
ALPEP2,Forb/herb
ALPE2,Forb/herb
ALPEP,Forb/herb
ALPES,Forb/herb
ALPL2,Forb/herb
ALPL3,Forb/herb
ALPL4,Forb/herb
ALPO2,Forb/herb
ALPR2,Forb/herb
ALPR6,Forb/herb
ALPU,Forb/herb
ALRO,Forb/herb
ALRU,Forb/herb
ALSA,Forb/herb
ALSAC,Forb/herb
ALSAS,Forb/herb
ALSA2,Forb/herb
ALSC,Forb/herb
ALSCS2,Forb/herb
ALSCS,Forb/herb
ALSC2,Forb/herb
ALSC3,Forb/herb
ALSCR,Forb/herb
ALSE3,Forb/herb
ALSH2,Forb/herb
ALSH,Forb/herb
ALSI,Forb/herb
ALSI2,Forb/herb
ALSP2,Forb/herb
ALSP4,Forb/herb
ALST,Forb/herb
ALTE,Forb/herb
ALTO,Forb/herb
ALTOP,Forb/herb
ALTOP2,Forb/herb
ALTOT,Forb/herb
ALTR2,Forb/herb
ALTR3,Forb/herb
ALTR4,Forb/herb
ALTU3,Forb/herb
ALTU,Forb/herb
ALUN,Forb/herb
ALVA,Forb/herb
ALVI3,Forb/herb
ALVI,Forb/herb
ALVIC3,Forb/herb
ALVIV,Forb/herb
ALYO,Forb/herb
ALDI4,Forb/herb
ALGI,Forb/herb
ALGIG,Forb/herb
ALGIV,Forb/herb
ALGL3,Forb/herb
ALIN3,Forb/herb
ALVI2,Forb/herb
ALHO4,"Subshrub, Shrub, Forb/herb"
ALLO2,"Subshrub, Shrub, Forb/herb"
ALPA14,Forb/herb
ALMA11,Forb/herb
ALOD3,Forb/herb
ALSC12,Forb/herb
ALVE2,Forb/herb
ALDR2,Forb/herb
ALMU2,Forb/herb
ALPU4,Forb/herb
ALZE,Forb/herb
ALHA2,Forb/herb
ALPS,Forb/herb
ALPU2,Forb/herb
ALBE,Forb/herb
ALBR5,"Forb/herb, Shrub, Vine"
ALCA5,Forb/herb
ALFI8,Forb/herb
ALFL,"Subshrub, Forb/herb"
ALFL5,Forb/herb
ALMA10,Forb/herb
ALPA17,Forb/herb
ALPAA2,Forb/herb
ALPAP,Forb/herb
ALPH,Forb/herb
ALPU3,Forb/herb
ALSE4,Forb/herb
ALCA25,Forb/herb
ALHI2,Forb/herb
ALOF2,Forb/herb
ALOV,Forb/herb
ALRU4,Forb/herb
ALVA2,Forb/herb
ALAL3,Forb/herb
ALCO16,"Forb/herb, Subshrub"
ALDE,Forb/herb
ALDED,Forb/herb
ALDEH,Forb/herb
ALMU,Forb/herb
ALOB5,Forb/herb
ALSI8,Forb/herb
ALST2,Forb/herb
ALSZ2,Forb/herb
AMAC,Forb/herb
AMAL,Forb/herb
AMAR,Forb/herb
AMAU,"Subshrub, Forb/herb"
AMBI,Forb/herb
AMBL,Forb/herb
AMBL2,Forb/herb
AMBLB,Forb/herb
AMBLE2,Forb/herb
AMBLP,Forb/herb
