"plant_id","type"
"562","AGLE","Forb/herb"
"563","AGMU","Forb/herb"
"564","AGNE3","Forb/herb"
"565","AGPA3","Forb/herb"
"566","AGPA4","Forb/herb"
"567","AGPAN6","Forb/herb"
"568","AGPAP5","Forb/herb"
"569","AGPA5","Forb/herb"
"570","AGPH","Forb/herb"
"571","AGSC3","Forb/herb"
"572","AGSCS2","Forb/herb"
"573","AGSCT","Forb/herb"
"574","AGSH","Forb/herb"
"575","AGSI2","Forb/herb"
"576","AGTO","Forb/herb"
"577","AGTOB","Forb/herb"
"578","AGTOT","Forb/herb"
"579","AGUN2","Forb/herb"
"580","AGUT","Forb/herb"
"581","AGUTE","Forb/herb"
"582","AGUTK","Forb/herb"
"583","AGUTN","Forb/herb"
"584","AGUTU","Forb/herb"
"585","AGWE","Forb/herb"
"587","AGCL3","Forb/herb"
"589","AGAD2","Forb/herb"
"590","AGAL5","Forb/herb"
"591","AGALA","Forb/herb"
"592","AGALA2","Forb/herb"
"593","AGALR","Forb/herb"
"594","AGAR4","Forb/herb"
"595","AGARA","Forb/herb"
"596","AGARI2","Forb/herb"
"598","AGHE5","Forb/herb"
"599","AGJU2","Forb/herb"
"600","AGLE3","Forb/herb"
"601","AGLU","Forb/herb"
"602","AGOC2","Forb/herb"
"603","AGPA13","Forb/herb"
"605","AGRO5","Forb/herb"
"609","AGCO","Forb/herb"
"610","AGCO2","Forb/herb"
"611","AGHO3","Forb/herb"
"612","AGLI3","Forb/herb"
"614","AGCO4","Forb/herb"
"615","AGCOM","Forb/herb"
"617","AGBO4","Forb/herb"
"618","AGEL8","Forb/herb"
"619","AGIN8","Forb/herb"
"620","AGOV","Forb/herb"
"621","AGRE8","Forb/herb"
"623","AGAP2","Forb/herb"
"624","AGAPA","Forb/herb"
"625","AGAPE","Forb/herb"
"626","AGAPM","Forb/herb"
"627","AGAU2","Forb/herb"
"628","AGAUA","Forb/herb"
"629","AGAUP","Forb/herb"
"630","AGDA3","Forb/herb"
"631","AGEL","Forb/herb"
"632","AGGL","Forb/herb"
"633","AGGLA","Forb/herb"
"634","AGGLC","Forb/herb"
"635","AGGLD","Forb/herb"
"636","AGGLG","Forb/herb"
"637","AGGLL","Forb/herb"
"638","AGGLM","Forb/herb"
"639","AGGR","Forb/herb"
"640","AGHE2","Forb/herb"
"641","AGHEC","Forb/herb"
"642","AGHEH","Forb/herb"
"643","AGHET","Forb/herb"
"644","AGLA9","Forb/herb"
"645","AGMO2","Forb/herb"
"646","AGRE","Forb/herb"
"648","AGEU","Forb/herb"
"649","AGGR2","Forb/herb"
"650","AGIN3","Forb/herb"
"651","AGMI2","Forb/herb"
"652","AGPA6","Forb/herb"
"653","AGPU","Forb/herb"
"654","AGRO3","Forb/herb"
"655","AGST","Forb/herb"
"665","AGBR4","Forb/herb"
"666","AGGI","Forb/herb"
"712","AJCH","Forb/herb"
"713","AJGE","Forb/herb"
"714","AJPY","Forb/herb"
"715","AJRE","Forb/herb"
"727","ALRO3","Forb/herb"
"729","ALFI5","Forb/herb"
"730","ALFIV","Forb/herb"
"731","ALMO4","Forb/herb"
"732","ALSU2","Forb/herb"
"734","ALVE3","Forb/herb"
"740","ALAC2","Forb/herb"
"741","ALAN3","Forb/herb"
"742","ALFI3","Forb/herb"
"743","ALHU","Forb/herb"
"744","ALMA3","Forb/herb"
"745","ALMAB","Forb/herb"
"746","ALMAM","Forb/herb"
"747","ALSE5","Forb/herb"
"749","ALAU","Forb/herb"
"750","ALBR6","Forb/herb"
"751","ALFA2","Forb/herb"
"752","ALLU","Forb/herb"
"753","ALOB3","Forb/herb"
"754","ALTO2","Forb/herb"
"761","ALCA23","Forb/herb"
"762","ALFO3","Forb/herb"
"763","ALHA6","Forb/herb"
"764","ALHE3","Forb/herb"
"765","ALHU6","Forb/herb"
"766","ALLA13","Forb/herb"
"767","ALLAI","Forb/herb"
"768","ALLAL3","Forb/herb"
"769","ALLE7","Forb/herb"
"770","ALLO6","Forb/herb"
"771","ALMC","Forb/herb"
"772","ALMI10","Forb/herb"
"773","ALNY2","Forb/herb"
"774","ALPE11","Forb/herb"
"775","ALPI2","Forb/herb"
"776","ALRI3","Forb/herb"
"777","ALSE11","Forb/herb"
"778","ALST12","Forb/herb"
"779","ALSU10","Forb/herb"
"780","ALSU9","Forb/herb"
"781","ALTE12","Forb/herb"
"782","ALTR14","Forb/herb"
"784","ALGR","Forb/herb"
"785","ALLA2","Forb/herb"
"786","ALPL","Forb/herb"
"787","ALSU","Forb/herb"
"788","ALTR7","Forb/herb"
"794","ALPE4","Forb/herb"
"796","ALCH","Forb/herb"
"797","ALIN","Forb/herb"
"798","ALINI","Forb/herb"
"799","ALINN","Forb/herb"
"800","ALINV2","Forb/herb"
"802","ALAA","Forb/herb"
"803","ALAB2","Forb/herb"
"804","ALAC4","Forb/herb"
"805","ALAL4","Forb/herb"
"806","ALAM","Forb/herb"
"807","ALAM2","Forb/herb"
"808","ALAN","Forb/herb"
"809","ALAT","Forb/herb"
"810","ALATA","Forb/herb"
"811","ALATC","Forb/herb"
"812","ALAT3","Forb/herb"
"813","ALBI","Forb/herb"
"814","ALBI2","Forb/herb"
"815","ALBIB","Forb/herb"
"816","ALBIP","Forb/herb"
"817","ALBO","Forb/herb"
"818","ALBOB","Forb/herb"
"819","ALBOM","Forb/herb"
"820","ALBOS","Forb/herb"
"821","ALBR","Forb/herb"
"822","ALBR2","Forb/herb"
"823","ALBU2","Forb/herb"
"824","ALBU","Forb/herb"
"825","ALCA2","Forb/herb"
"826","ALCA3","Forb/herb"
"827","ALCAC","Forb/herb"
"828","ALCAE","Forb/herb"
"829","ALCAF","Forb/herb"
"830","ALCAH","Forb/herb"
"831","ALCAL","Forb/herb"
"832","ALCAM","Forb/herb"
"833","ALCE","Forb/herb"
"834","ALCE2","Forb/herb"
"835","ALCEC2","Forb/herb"
"836","ALCEN","Forb/herb"
"837","ALCEO","Forb/herb"
"838","ALCO2","Forb/herb"
"839","ALCO3","Forb/herb"
"840","ALCO","Forb/herb"
"841","ALCR3","Forb/herb"
"842","ALCR4","Forb/herb"
"843","ALCR5","Forb/herb"
"844","ALCU","Forb/herb"
"845","ALDE6","Forb/herb"
"846","ALDI10","Forb/herb"
"847","ALDI2","Forb/herb"
"848","ALDI3","Forb/herb"
"849","ALDO","Forb/herb"
"850","ALDR","Forb/herb"
"851","ALEL","Forb/herb"
"852","ALFA3","Forb/herb"
"853","ALFI","Forb/herb"
"854","ALFI2","Forb/herb"
"855","ALFIF","Forb/herb"
"856","ALFIM","Forb/herb"
"857","ALFIP2","Forb/herb"
"858","ALFI4","Forb/herb"
"859","ALGE","Forb/herb"
"860","ALGEC","Forb/herb"
"861","ALGEG","Forb/herb"
"862","ALGET","Forb/herb"
"863","ALGL","Forb/herb"
"864","ALGO","Forb/herb"
"865","ALHA","Forb/herb"
"866","ALHI","Forb/herb"
"867","ALHO","Forb/herb"
"868","ALHO2","Forb/herb"
"869","ALHOC","Forb/herb"
"870","ALHOH","Forb/herb"
"871","ALHOS","Forb/herb"
"872","ALHY","Forb/herb"
"873","ALJE","Forb/herb"
"874","ALKU","Forb/herb"
"875","ALLA3","Forb/herb"
"876","ALLAD","Forb/herb"
"877","ALLAK","Forb/herb"
"878","ALLAL","Forb/herb"
"879","ALLAM2","Forb/herb"
"880","ALLE3","Forb/herb"
"881","ALMA4","Forb/herb"
"882","ALMA5","Forb/herb"
"883","ALMA6","Forb/herb"
"884","ALME","Forb/herb"
"885","ALMO3","Forb/herb"
"886","ALMU6","Forb/herb"
"887","ALNE3","Forb/herb"
"888","ALNE","Forb/herb"
"889","ALNE4","Forb/herb"
"890","ALNI","Forb/herb"
"891","ALOB","Forb/herb"
"892","ALOBC","Forb/herb"
"893","ALOBO","Forb/herb"
"894","ALOL","Forb/herb"
"895","ALOX","Forb/herb"
"896","ALPA20","Forb/herb"
"897","ALPA2","Forb/herb"
"898","ALPA11","Forb/herb"
"899","ALPA3","Forb/herb"
"900","ALPA5","Forb/herb"
"901","ALPE","Forb/herb"
"902","ALPEF","Forb/herb"
"903","ALPEP2","Forb/herb"
"904","ALPE2","Forb/herb"
"905","ALPEP","Forb/herb"
"906","ALPES","Forb/herb"
"907","ALPL2","Forb/herb"
"908","ALPL3","Forb/herb"
"909","ALPL4","Forb/herb"
"910","ALPO2","Forb/herb"
"911","ALPR2","Forb/herb"
"912","ALPR6","Forb/herb"
"913","ALPU","Forb/herb"
"914","ALRO","Forb/herb"
"915","ALRU","Forb/herb"
"916","ALSA","Forb/herb"
"917","ALSAC","Forb/herb"
"918","ALSAS","Forb/herb"
"919","ALSA2","Forb/herb"
"920","ALSC","Forb/herb"
"921","ALSCS2","Forb/herb"
"922","ALSCS","Forb/herb"
"923","ALSC2","Forb/herb"
"924","ALSC3","Forb/herb"
"925","ALSCR","Forb/herb"
"926","ALSE3","Forb/herb"
"927","ALSH2","Forb/herb"
"928","ALSH","Forb/herb"
"929","ALSI","Forb/herb"
"930","ALSI2","Forb/herb"
"931","ALSP2","Forb/herb"
"932","ALSP4","Forb/herb"
"933","ALST","Forb/herb"
"934","ALTE","Forb/herb"
"935","ALTO","Forb/herb"
"936","ALTOP","Forb/herb"
"937","ALTOP2","Forb/herb"
"938","ALTOT","Forb/herb"
"939","ALTR2","Forb/herb"
"940","ALTR3","Forb/herb"
"941","ALTR4","Forb/herb"
"942","ALTU3","Forb/herb"
"943","ALTU","Forb/herb"
"944","ALUN","Forb/herb"
"945","ALVA","Forb/herb"
"946","ALVI3","Forb/herb"
"947","ALVI","Forb/herb"
"948","ALVIC3","Forb/herb"
"949","ALVIV","Forb/herb"
"950","ALYO","Forb/herb"
"954","ALDI4","Forb/herb"
"955","ALGI","Forb/herb"
"956","ALGIG","Forb/herb"
"957","ALGIV","Forb/herb"
"958","ALGL3","Forb/herb"
"959","ALIN3","Forb/herb"
"963","ALVI2","Forb/herb"
"965","ALHO4","Forb/herb"
"966","ALLO2","Forb/herb"
"968","ALPA14","Forb/herb"
"987","ALMA11","Forb/herb"
"988","ALOD3","Forb/herb"
"990","ALSC12","Forb/herb"
